Job_Role,Company,Experience,Salary,Location,Key_Skills,Post_History,machine learning,python,data science,analytical,artificial intelligence,it skills,big data,data analysis
data science - machine learning engineer,BCG Attorney Search ,5-8 Yrs,"9,50,000 - 18,00,000 PA.",Ahmedabad (WFH during Covid),"algorithms,business intelligence,visualization,statistician,predictive analytics,big data,data mining,machine learning",5 Days Ago,1,0,0,0,0,0,1,0
"faculty for machine learning and big data job in karve nagar, pune","MKSSS-AIT, Center for Data Science, Machine Learning and AI",0-3 Yrs,300000 - 700000 PA.,Pune,"training,machine learning,big data,sql server analysis services,power bi,natural language processing,teaching,tableau",7 Days Ago,1,0,0,0,0,0,1,0
computer vision/artificial intelligence/machine learning engineer,e-con Systems,0-1 Yrs,500000 - 500000 PA.,Chennai,"it skills,python,machine learning,artificial intelligence,c++,linux,image processing,computer vision",5 Days Ago,1,1,0,0,1,1,0,0
data scientist - image recognition/machine learning,CarbyneTech India,5-10 Yrs,2000000 - 2500000 PA.,Hyderabad,"image recognition,machine learning,python,hive,design,learning,spacy,pytorch",5 Days Ago,1,1,0,0,0,0,0,0
specialist- data analyst- machine learning/spotfire,Carrierin Services,3-6 Yrs,1200000 - 1800000 PA.,Bangalore,"hvac,analytical,artificial intelligence,machine learning,data analyst,refrigeration,operations,python",1 Day Ago,1,1,0,1,1,0,0,0
technology services - senior analyst - machine learning consultant,eClerx,2-5 Yrs,700000 - 900000 PA.,Chandigarh,"ai,ml,learning,python,linux,deep learning,pandas,machine learning",2 Days Ago,1,1,0,0,0,0,0,0
machine learning engineer,SPI technologies india private limited,2-7 Yrs,600000 - 1100000 PA.,"Chennai, Bangalore, Delhi / NCR","python,communication,analytical,analytics,data science,natural language processing,machine learning,analytis",1 Day Ago,1,1,1,1,0,0,0,0
machine learning engineer,SPI technologies india private limited,2-7 Yrs,800000 - 1400000 PA.,"Chennai, Bangalore, Delhi / NCR","communication,python,analytics,analytical,it skills,machine learning,data science,natural language processing",1 Day Ago,1,1,1,1,0,1,0,0
data scientist (machine learning /ai),Mastermind Network,2-7 Yrs,700000 - 1100000 PA.,Delhi (WFH during Covid),"tensorflow,deep learning,python,data science,artificial intelligence,decision trees,machine learning,analytics",2 Days Ago,1,1,1,0,1,0,0,0
data scientist (machine learning /ai),Mastermind Network,5-8 Yrs,"25,00,000 - 40,00,000 PA.",Delhi (WFH during Covid),"tensorflow,deep learning,python,data science,artificial intelligence,decision trees,machine learning,analytics",Today,1,1,1,0,1,0,0,0
data scientist - machine learning/apics,CarbyneTech India,3-8 Yrs,1200000 - 1800000 PA.,Hyderabad,"apics,machine learning,python,data science,r,nlp,artificial intelligence,data management",5 Days Ago,1,1,1,0,1,0,0,0
associate principal engineer (machine learning),Nagarro,9-12 Yrs,1800000 - 2800000 PA.,Remote,"python,aws,machine learning,it skills,cloud,kubernetes,build,design patterns",2 Days Ago,1,1,0,0,0,1,0,0
data science- machine learning engineer,Jet2 Travel Technologies Pvt. Ltd.,3-5 Yrs,600000 - 1400000 PA.,Pune,"it skills,python,software development,data science,machine learning,cloud,big data,snowflake",2 Days Ago,1,1,1,0,0,1,1,0
data engineer: machine learning,IBM,4-8 Yrs,1200000 - 1800000 PA.,Bangalore,"rds,ec2,agile,aws cloud,aws,python,machine learning,data interpretation",9 Days Ago,1,1,0,0,0,0,0,0
machine learning - engineer,DOCQUITY SERVICES PRIVATE LIMITED ,1-3 Yrs,"15,00,000 - 25,00,000 PA.","Bangalore, Delhi / NCR","machine learning,deep learning",Today,1,0,0,0,0,0,0,0
machine learning engineer/ mlops engineer,TIGER ANALYTICS INDIA CONSULTING PRIVATE LIMITED,1-6 Yrs,800000 - 1000000 PA.,"Hyderabad, Chennai, Bangalore","it skills,java,python,machine learning,cloud,artificial intelligence,django,natural language processing",2 Days Ago,1,1,0,0,1,1,0,0
artificial intelligence/machine learning engineer,Ezeiatech Systems Private Limited,0-5 Yrs,600000 - 1300000 PA.,Gurgaon,"it skills,python,machine learning,tensorflow,nlp,artificial intelligence,deep learning",14 Days Ago,1,1,0,0,1,1,0,0
data scientist - image recognition/machine learning,CarbyneTech India,5-10 Yrs,1900000 - 2600000 PA.,Hyderabad,"nlp,data scientist,time series analysis,artificial intelligence,data management,image recognition,distributed computing,machine learning",14 Days Ago,1,0,0,0,1,0,0,0
data scientist - image recognition/ machine learning,CarbyneTech India,5-10 Yrs,1800000 - 2500000 PA.,Hyderabad,"machine learning,nltk,lda,pig,tensorflow,scala,spark,sparkml",14 Days Ago,1,0,0,0,0,0,0,0
data engineer (machine learning) - on contract,Orcapod Consulting Services Private Limited  ,8-10 Yrs,"8,00,000 - 10,00,000 PA.","Hyderabad, Chennai, Bangalore","it skills,python,machine learning,cloud",1 Day Ago,1,1,0,0,0,1,0,0
data scientist - machine learning,Best Infosystems Ltd,5-10 Yrs,2000000 - 2500000 PA.,Chennai,"java,deep learning,c,data scientist,data management,machine learning,ieee,python",2 Days Ago,1,1,0,0,0,0,0,0
machine learning data science practitioner,Accenture,4-6 Yrs,1200000 - 1900000 PA.,Bangalore,"deep learning,machine learning,etl,analytical,data science,written,big data processing,analytics",1 Day Ago,1,0,1,1,0,0,1,0
senior software developer - nlp/ machine learning/ data science,Cunesoft India Private Limited (a Phlexglobal Company),5-8 Yrs,1300000 - 1800000 PA.,Bangalore,"it skills,java,python,testing,machine learning,cloud,project management,data science",9 Days Ago,1,1,1,0,0,1,0,0
specialist- data analyst- machine learning/spotfire,Carrier,2-6 Yrs,600000 - 1100000 PA.,Bangalore,"hvac,analytical,artificial intelligence,machine learning,javascript,data analyst,refrigeration,operations",4 Days Ago,1,0,0,1,1,0,0,0
machine learning engineer,Quantiphi Analytics Solutions Pvt. Ltd.,2-5 Yrs,700000 - 1300000 PA.,"Mumbai, Bangalore, Trivandrum/Thiruvananthapuram","data flow,java,object - oriented programming,nosql,design patterns,communication,google cloud platform,unix",1 Day Ago,0,0,0,0,0,0,0,0
machine learning engineer i,Phenompeople,1-6 Yrs,700000 - 900000 PA.,Hyderabad,"product management,computer science,deep learning,data science,coding,machine learning,agile,data processing",1 Day Ago,1,0,1,0,0,0,0,0
machine learning engineer ii,Phenompeople,5-10 Yrs,1800000 - 2800000 PA.,Hyderabad,"product management,computer science,deep learning,data science,coding,machine learning,agile,data processing",1 Day Ago,1,0,1,0,0,0,0,0
machine learning engineer iii,Phenompeople,6-11 Yrs,2000000 - 2700000 PA.,Hyderabad,"product management,computer science,deep learning,data science,coding,machine learning,agile,data processing",1 Day Ago,1,0,1,0,0,0,0,0
applied machine learning engineer,Flixdrop Technology,1-3 Yrs,800000 - 1100000 PA.,Bangalore(Singasandra),"pytorch,machine learning,computer vision,python,elasticsearch,spark,tensorflow,presto",2 Days Ago,1,1,0,0,0,0,0,0
machine learning ops lead,Dell,4-9 Yrs,1400000 - 1900000 PA.,Bangalore,"data transformation,data mining,machine learning,it skills,java,big data,data science,c#",1 Day Ago,1,0,1,0,0,1,1,0
google cloud machine learning services application developer,Accenture,8-10 Yrs,1600000 - 2800000 PA.,Bangalore,"pub,gcp,communication,cloud dataflow,agile,cloud bigquery,written,verbal",1 Day Ago,0,0,0,0,0,0,0,0
google cloud machine learning services application developer,Accenture,6-8 Yrs,1100000 - 1900000 PA.,Bangalore,"pub,cloud bigquery,written,dataflow,verbal,communication,gcp,agile",1 Day Ago,0,0,0,0,0,0,0,0
technology services-program manager-machine learning,eClerx,5-10 Yrs,1800000 - 2500000 PA.,Mumbai,"spark,machine learning,python,it skills,aws,tensorflow,c++,c",1 Day Ago,1,1,0,0,0,1,0,0
artificial intelligence & machine learning expert,Infosys,3-8 Yrs,1400000 - 1800000 PA.,Bangalore,"azure ml,artificial intelligence,machine learning,theano,reinforcement learning,learning,ai,keras",4 Days Ago,1,0,0,0,1,0,0,0
research scientist (artificial intelligence/machine learning-robotics),Intel,4-8 Yrs,1300000 - 1900000 PA.,Bangalore,"computer science,deep learning,simulation,analytical,artificial intelligence,machine learning,system software,matlab",12 Days Ago,1,0,0,1,1,0,0,0
senior machine learning engineer,Poshmark,2-5 Yrs,600000 - 1300000 PA.,Chennai,"data science,focus,machine learning,scala,data structures,wbs,mongodb,analytics",1 Day Ago,1,0,1,0,0,0,0,0
machine learning operations specialist - big data/ai,Axcess Consultancy Services,5-9 Yrs,1200000 - 1900000 PA.,"Bangalore, Karnataka","artificial intelligence,data analytics,machine learning,it skills,cloud,devops,big data,jenkins",Today,1,0,0,0,1,1,1,0
data scientist - python/ matlab/ machine learning algorithms,Wrackle Technologies Pvt Ltd,3-8 Yrs,1100000 - 1700000 PA.,Bangalore,"python,data analysis,data mining,mining,machine learning,statistical analysis,written,verbal communication",14 Days Ago,1,1,0,0,0,0,0,1
lead data scientist - machine learning/ data mining,Wrackle Technologies Pvt Ltd,6-11 Yrs,2000000 - 2500000 PA.,Bangalore,"python,data analysis,data mining,r,machine learning,written,verbal communication,statistical analysis",14 Days Ago,1,1,0,0,0,0,0,1
data scientist - machine learning/apics,CarbyneTech India,3-8 Yrs,1300000 - 1700000 PA.,Hyderabad,"data science,r,nlp,artificial intelligence,data management,machine learning,python,predictive analytics",14 Days Ago,1,1,1,0,1,0,0,0
lead data scientist - deep learning/machine learning,Confidential,4-9 Yrs,1200000 - 1700000 PA.,Bangalore,"written,cluster analysis,linear regression,caffe,verbal,gradient descent,pytorch,sas",3 Days Ago,0,0,0,0,0,0,0,0
lead data scientist - deep learning/machine learning,Confidential,2-7 Yrs,800000 - 1100000 PA.,Bangalore,"it skills,python,machine learning,r,opencv,data scientist,data management,time series forecasting",5 Days Ago,1,1,0,0,0,1,0,0
hiring for data scientist (machine learning) for an mnc product based,PERSOLKELLY INDIA PRIVATE LIMITED    ,6-11 Yrs,1600000 - 2500000 PA.,Pune(WFH during Covid),"time series,machine learning algorithms,machine learning",2 Days Ago,1,0,0,0,0,0,0,0
machine learning data science practitioner,Accenture,4-6 Yrs,1300000 - 1900000 PA.,Noida,"python,gcp,analytical,azure,verbal,etl,written,knime",1 Day Ago,0,1,0,1,0,0,0,0
machine learning data science practitioner,Accenture,4-6 Yrs,1400000 - 1900000 PA.,Mumbai,"it skills,python,data science,machine learning,big data,aws,azure,operations research",1 Day Ago,1,1,1,0,0,1,1,0
machine learning data science practitioner,Accenture,4-6 Yrs,1200000 - 1900000 PA.,Pune,"python,gcp,analytical,azure,verbal,etl,written,knime",1 Day Ago,0,1,0,1,0,0,0,0
machine learning data science practitioner,Accenture,4-6 Yrs,1400000 - 1900000 PA.,Hyderabad,"operations research,data science,gcp,analytical,consulting,machine learning,data processing,subject matter expert",1 Day Ago,1,0,1,1,0,0,0,0
machine learning data science practitioner,Accenture,6-8 Yrs,1100000 - 1900000 PA.,Pune,"data science,etl,verbal,big data processing,python,machine learning,written,analytical",1 Day Ago,1,1,1,1,0,0,1,0
machine learning data science practitioner,Accenture,4-6 Yrs,1300000 - 1700000 PA.,Mumbai,"data science,etl,verbal,big data processing,python,machine learning,written,analytical",1 Day Ago,1,1,1,1,0,0,1,0
data science engineer - machine/deep learning models - r/python/scala,CarbyneTech India,4-8 Yrs,1300000 - 1900000 PA.,Hyderabad,"deep learning models,machine learning,data science,tensorflow,artificial intelligence,scala,hadoop,big data",6 Days Ago,1,0,1,0,1,0,1,0
senior software developer - nlp/machine learning/data science,Cunesoft India Private Limited (a Phlexglobal Company),5-8 Yrs,1300000 - 1700000 PA.,Bangalore,"machine learning,data science,nlp,it skills,java,python,testing,cloud",14 Days Ago,1,1,1,0,0,1,0,0
senior machine learning engineer - intelligent video analytics,NVIDIA,6-11 Yrs,1900000 - 2600000 PA.,Pune,"graphics,training,analytical skills,production management,automation,neural networks,machine learning,sdk",3 Days Ago,1,0,0,1,0,0,0,0
data science - machine learning engineer,BCG Attorney Search ,5-8 Yrs,"9,50,000 - 18,00,000 PA.",Ahmedabad (WFH during Covid),"algorithms,business intelligence,visualization,statistician,predictive analytics,big data,data mining,machine learning",5 Days Ago,1,0,0,0,0,0,1,0
machine learning engineer,Hexaware Technologies,5-9 Yrs,1100000 - 1900000 PA.,"Pune, Chennai, Mumbai (All Areas)(WFH during Covid)","python,machine learning,debugging,java,verbal,written communication,analytical,troubleshooting",Few Hours Ago,1,1,0,1,0,0,0,0
machine learning engineer | advance auto parts,TALENT500 TECH (INDIA) PRIVATE LIMITED,1-4 Yrs,800000 - 1100000 PA.,Hyderabad,"machine learning,python",Today,1,1,0,0,0,0,0,0
